,Training Loss,Validation Loss
Epoch 1,0.1297066082364983,0.16325674064714332
Epoch 2,0.12073261286301745,0.15106143115152573
Epoch 3,0.11744650257246361,0.14802735838396797
Epoch 4,0.11647760851523943,0.14719817003813282
Epoch 5,0.11493579732072022,0.14746147400603213
Epoch 6,0.11362499329513974,0.15118867133198113
Epoch 7,0.11292305028869046,0.14725809724166475
Epoch 8,0.11218962615645595,0.1461254075041105
Epoch 9,0.11147757175051504,0.14715574071582022
Epoch 10,0.11131226388555435,0.14626748268974238
Epoch 11,0.11040135787170795,0.1469316865349638
Epoch 12,0.10994815553012821,0.1420658938586712
Epoch 13,0.10943507568753429,0.14448637386848187
Epoch 14,0.10963290319347548,0.1436933781951666
Epoch 15,0.10920088924877346,0.14419487298562608
