,Training Loss,Validation Loss
Epoch 1,0.11882675645069944,0.15064566916432873
Epoch 2,0.11286371452626255,0.15267992790403037
Epoch 3,0.10936348846074607,0.14287225336864076
Epoch 4,0.10753920633912914,0.14121635727070528
Epoch 5,0.10540356675593389,0.13944496818143745
Epoch 6,0.10383508814896146,0.14042640560916786
Epoch 7,0.1021427899454203,0.12921801639785027
Epoch 8,0.1008119010768003,0.13514341940653735
Epoch 9,0.09923880868458913,0.14032962757708697
Epoch 10,0.09746978067975078,0.14858973331364064
Epoch 11,0.09501763763940997,0.13399800375617785
Epoch 12,0.09238774620884409,0.13872413851063828
Epoch 13,0.08961657667689853,0.13868853822350502
Epoch 14,0.08599906446641932,0.1470746490462073
Epoch 15,0.08228414893100659,0.15248494537483
Epoch 16,0.07765261076943328,0.14894536946868075
Epoch 17,0.07217980149073733,0.1544536390373933
Epoch 18,0.06693856795019884,0.16264803624101754
Epoch 19,0.061868118281588086,0.16342786391233577
Epoch 20,0.057223539956897086,0.1788994336564993
Epoch 21,0.05241446397117365,0.18704000160354992
Epoch 22,0.04830906662938392,0.19623092850991364
Epoch 23,0.04549428929338335,0.21352969829378457
Epoch 24,0.04228891747718832,0.21167433897739854
Epoch 25,0.039389918385825715,0.2158048554676874
Epoch 26,0.03637866981877402,0.22401793339642986
Epoch 27,0.03492002658929519,0.22900802301692552
Epoch 28,0.033040014806313814,0.24364305701877537
Epoch 29,0.030438203636517412,0.23756354803155208
Epoch 30,0.02980857050538503,0.261563992962755
